epoch,loss,train_step_acc,train_trace_acc,test_step_acc,test_trace_acc
0,0.6795973777770996,0.31095555555555554,0.0,0.308,0.0
50,0.6032694578170776,0.3122333333333333,0.0,0.3196,0.0
100,0.450419545173645,0.6878222222222222,0.02522222138941288,0.676,0.017000000923871994
150,0.3906075060367584,0.7388777777777777,0.06222222372889519,0.7304,0.0560000017285347
200,0.3352261781692505,0.7904777777777777,0.11855555325746536,0.779,0.11100000143051147
250,0.2738259434700012,0.8612333333333333,0.29499998688697815,0.8505,0.28700000047683716
300,0.23124268651008606,0.9095333333333333,0.5278888940811157,0.9053,0.5080000162124634
350,0.20464201271533966,0.9274444444444444,0.6439999938011169,0.9249,0.6370000243186951
400,0.18875670433044434,0.9327111111111112,0.6833333373069763,0.9316,0.6830000281333923
450,0.1791706532239914,0.9353555555555556,0.7008888721466064,0.9334,0.6959999799728394
