epoch,loss,train_step_acc,train_trace_acc,test_step_acc,test_trace_acc
0,0.6736263632774353,0.29907222222222224,0.0,0.29815,0.0
50,0.6135132908821106,0.29907222222222224,0.0,0.29815,0.0
100,0.49597251415252686,0.6704666666666667,0.0011111111380159855,0.67145,0.0
150,0.4392761290073395,0.7267277777777778,0.004111111164093018,0.7267,0.0020000000949949026
200,0.38997286558151245,0.7634166666666666,0.014555555768311024,0.7614,0.00800000037997961
250,0.33780553936958313,0.8227777777777778,0.0694444477558136,0.81865,0.05299999937415123
300,0.3108379542827606,0.8539666666666667,0.15444444119930267,0.84715,0.1289999932050705
350,0.29088151454925537,0.8662166666666666,0.2114444375038147,0.85925,0.1809999942779541
400,0.27542421221733093,0.8724888888888889,0.24722221493721008,0.8656,0.20499999821186066
450,0.26408132910728455,0.87665,0.27133333683013916,0.87045,0.23199999332427979
