epoch,loss,train_step_acc,train_trace_acc,test_step_acc,test_trace_acc
0,0.6904927492141724,0.3698111111111111,0.0,0.3661,0.0
50,0.6235728859901428,0.30307222222222224,0.0,0.3083,0.0
100,0.5027311444282532,0.6431222222222223,0.0004444444493856281,0.6522,0.0010000000474974513
150,0.4479539096355438,0.7091444444444445,0.002222222276031971,0.71665,0.003000000026077032
200,0.4070490598678589,0.7432944444444445,0.00866666715592146,0.7504,0.00800000037997961
250,0.36855655908584595,0.7781,0.026555554941296577,0.78575,0.020000001415610313
300,0.3226618468761444,0.8273111111111111,0.0811111107468605,0.83375,0.08000000566244125
350,0.29688218235969543,0.8665333333333334,0.20811110734939575,0.8703,0.19300000369548798
400,0.28111207485198975,0.8735166666666667,0.2477777749300003,0.87815,0.2410000115633011
450,0.2696015536785126,0.8748777777777778,0.2567777931690216,0.8801,0.2510000169277191
