tlsf_file,trial,sample_size,accuracy,error
ActionConverter_TSL_Paper.tlsf,1,5418,0.0,
ActionConverter_TSL_Paper.tlsf,2,5543,0.0,
ActionConverter_TSL_Paper.tlsf,3,5731,0.0,
EscalatorBidirectional_TSL_Paper.tlsf,1,37339,0.0,
EscalatorBidirectional_TSL_Paper.tlsf,2,37245,0.0,
EscalatorBidirectional_TSL_Paper.tlsf,3,37347,0.0,
KitchenTimerV8_TSL_Paper.tlsf,1,21140,100.0,
KitchenTimerV8_TSL_Paper.tlsf,2,24952,100.0,
KitchenTimerV8_TSL_Paper.tlsf,3,24033,100.0,
TorcsSteeringSmart.tlsf,1,6208,100.0,
TorcsSteeringSmart.tlsf,2,6369,100.0,
TorcsSteeringSmart.tlsf,3,6328,100.0,
abcg_arbiter_n_1.tlsf,1,911,100.0,
abcg_arbiter_n_1.tlsf,2,934,100.0,
abcg_arbiter_n_1.tlsf,3,932,100.0,
abcg_arbiter_n_2.tlsf,1,2181,100.0,
abcg_arbiter_n_2.tlsf,2,2155,100.0,
abcg_arbiter_n_2.tlsf,3,2061,100.0,
arbiter-with-failure-real.tlsf,1,154997,100.0,
arbiter-with-failure-real.tlsf,2,155159,100.0,
arbiter-with-failure-real.tlsf,3,156514,100.0,
arbiter_with_cancel_n_1.tlsf,1,1838,100.0,
arbiter_with_cancel_n_1.tlsf,2,1847,100.0,
arbiter_with_cancel_n_1.tlsf,3,1876,100.0,
arbiter_with_cancel_n_2.tlsf,1,5804,100.0,
arbiter_with_cancel_n_2.tlsf,2,5839,100.0,
arbiter_with_cancel_n_2.tlsf,3,5802,100.0,
arbiter_with_cancel_n_3.tlsf,1,79407,100.0,
arbiter_with_cancel_n_3.tlsf,2,81073,100.0,
arbiter_with_cancel_n_3.tlsf,3,79583,100.0,
box-limited-real.tlsf,1,6552,100.0,
box-limited-real.tlsf,2,6581,100.0,
box-limited-real.tlsf,3,6584,100.0,
collector_v1_n_2.tlsf,1,1857,100.0,
collector_v1_n_2.tlsf,2,1949,100.0,
collector_v1_n_2.tlsf,3,1848,100.0,
collector_v1_n_3.tlsf,1,4412,100.0,
collector_v1_n_3.tlsf,2,4405,100.0,
collector_v1_n_3.tlsf,3,4444,100.0,
collector_v1_n_4.tlsf,1,14168,100.0,
collector_v1_n_4.tlsf,2,15208,100.0,
collector_v1_n_4.tlsf,3,13678,100.0,
collector_v2_n_2.tlsf,1,1901,100.0,
collector_v2_n_2.tlsf,2,1889,100.0,
collector_v2_n_2.tlsf,3,1925,100.0,
collector_v2_n_3.tlsf,1,4322,100.0,
collector_v2_n_3.tlsf,2,4439,100.0,
collector_v2_n_3.tlsf,3,4399,100.0,
collector_v2_n_4.tlsf,1,9715,100.0,
collector_v2_n_4.tlsf,2,10001,100.0,
collector_v2_n_4.tlsf,3,10554,100.0,
full_arbiter_n_3.tlsf,1,4505,100.0,
full_arbiter_n_3.tlsf,2,4741,100.0,
full_arbiter_n_3.tlsf,3,4687,100.0,
generalized_buffer_n_2.tlsf,1,439687,100.0,
generalized_buffer_n_2.tlsf,2,492815,99.9,
generalized_buffer_n_2.tlsf,3,554818,99.9,
gui_glue_code_synthesis_01.tlsf,1,6288,100.0,
gui_glue_code_synthesis_01.tlsf,2,6257,100.0,
gui_glue_code_synthesis_01.tlsf,3,6316,100.0,
gui_glue_code_synthesis_02.tlsf,1,6456,100.0,
gui_glue_code_synthesis_02.tlsf,2,6435,100.0,
gui_glue_code_synthesis_02.tlsf,3,6935,100.0,
lilydemo04.tlsf,1,3965,100.0,
lilydemo04.tlsf,2,3891,100.0,
lilydemo04.tlsf,3,3920,100.0,
lilydemo05.tlsf,1,3831,100.0,
lilydemo05.tlsf,2,3830,100.0,
lilydemo05.tlsf,3,3891,100.0,
lilydemo06.tlsf,1,3905,100.0,
lilydemo06.tlsf,2,3993,100.0,
lilydemo06.tlsf,3,4004,100.0,
lilydemo07.tlsf,1,3913,100.0,
lilydemo07.tlsf,2,3976,100.0,
lilydemo07.tlsf,3,3929,100.0,
load_balancer_n_2.tlsf,1,3991,100.0,
