tlsf_file,trial,sample_size,accuracy
chain-simple-10-real.tlsf,1,,0.0
chain-simple-10-real.tlsf,2,,0.0
chain-simple-10-real.tlsf,3,,0.0
chain-simple-10-real.tlsf,4,,0.0
chain-simple-10-real.tlsf,5,,0.0
chain-simple-10-real.tlsf,6,,0.0
chain-simple-20-real.tlsf,1,,0.0
chain-simple-20-real.tlsf,2,,0.0
chain-simple-20-real.tlsf,3,,0.0
chain-simple-20-real.tlsf,4,,0.0
chain-simple-20-real.tlsf,5,,0.0
chain-simple-20-real.tlsf,6,,0.0
chain-simple-30-real.tlsf,1,,0.0
chain-simple-30-real.tlsf,2,,0.0
chain-simple-30-real.tlsf,3,,0.0
chain-simple-30-real.tlsf,4,,0.0
chain-simple-30-real.tlsf,5,,0.0
chain-simple-30-real.tlsf,6,,0.0
chain-simple-40-real.tlsf,1,,0.0
chain-simple-40-real.tlsf,2,,0.0
chain-simple-40-real.tlsf,3,,0.0
chain-simple-40-real.tlsf,4,,0.0
chain-simple-40-real.tlsf,5,,0.0
chain-simple-40-real.tlsf,6,,0.0
chain-simple-5-real.tlsf,1,,0.0
chain-simple-5-real.tlsf,2,,0.0
chain-simple-5-real.tlsf,3,,0.0
chain-simple-5-real.tlsf,4,,0.0
chain-simple-5-real.tlsf,5,,0.0
chain-simple-5-real.tlsf,6,,0.0
chain-simple-50-real.tlsf,1,,0.0
chain-simple-50-real.tlsf,2,,0.0
chain-simple-50-real.tlsf,3,,0.0
chain-simple-50-real.tlsf,4,,0.0
chain-simple-50-real.tlsf,5,,0.0
chain-simple-50-real.tlsf,6,,0.0
chain-simple-60-real.tlsf,1,,0.0
chain-simple-60-real.tlsf,2,,0.0
chain-simple-60-real.tlsf,3,,0.0
chain-simple-60-real.tlsf,4,,0.0
chain-simple-60-real.tlsf,5,,0.0
chain-simple-60-real.tlsf,6,,0.0
chain-simple-70-real.tlsf,1,,0.0
chain-simple-70-real.tlsf,2,,0.0
chain-simple-70-real.tlsf,3,,0.0
chain-simple-70-real.tlsf,4,,0.0
chain-simple-70-real.tlsf,5,,0.0
chain-simple-70-real.tlsf,6,,0.0
chain-simple-param-70-real.tlsf,1,,0.0
chain-simple-param-70-real.tlsf,2,,0.0
chain-simple-param-70-real.tlsf,3,,0.0
chain-simple-param-70-real.tlsf,4,,0.0
chain-simple-param-70-real.tlsf,5,,0.0
chain-simple-param-70-real.tlsf,6,,0.0
diagonal-real.tlsf,1,53602.0,100.0
diagonal-real.tlsf,2,53647.0,100.0
diagonal-real.tlsf,3,53684.0,100.0
diagonal-real.tlsf,4,53618.0,100.0
diagonal-real.tlsf,5,53575.0,100.0
diagonal-real.tlsf,6,53619.0,100.0
elevator-paper-real.tlsf,1,217483.0,100.0
elevator-paper-real.tlsf,2,217449.0,100.0
elevator-paper-real.tlsf,3,217528.0,100.0
elevator-paper-real.tlsf,4,217525.0,100.0
elevator-paper-real.tlsf,5,217479.0,100.0
elevator-paper-real.tlsf,6,217373.0,100.0
evasion-real.tlsf,1,,0.0
evasion-real.tlsf,2,,0.0
evasion-real.tlsf,3,,0.0
evasion-real.tlsf,4,,0.0
evasion-real.tlsf,5,,0.0
evasion-real.tlsf,6,,0.0
f-real-real.tlsf,1,,0.0
f-real-real.tlsf,2,,0.0
f-real-real.tlsf,3,,0.0
f-real-real.tlsf,4,,0.0
f-real-real.tlsf,5,,0.0
f-real-real.tlsf,6,,0.0
g-real-real.tlsf,1,,0.0
g-real-real.tlsf,2,,0.0
g-real-real.tlsf,3,,0.0
g-real-real.tlsf,4,,0.0
g-real-real.tlsf,5,,0.0
g-real-real.tlsf,6,,0.0
gf-real-real.tlsf,1,80897.0,99.6
gf-real-real.tlsf,2,65919.0,95.2
gf-real-real.tlsf,3,67487.0,93.5
gf-real-real.tlsf,4,74010.0,95.9
gf-real-real.tlsf,5,63042.0,89.6
gf-real-real.tlsf,6,62008.0,94.5
heim-buechi-real.tlsf,1,,0.0
heim-buechi-real.tlsf,2,,0.0
heim-buechi-real.tlsf,3,,0.0
heim-buechi-real.tlsf,4,,0.0
heim-buechi-real.tlsf,5,,0.0
heim-buechi-real.tlsf,6,,0.0
heim-double-x-real.tlsf,1,,0.0
heim-double-x-real.tlsf,2,,0.0
heim-double-x-real.tlsf,3,,0.0
heim-double-x-real.tlsf,4,,0.0
heim-double-x-real.tlsf,5,,0.0
heim-double-x-real.tlsf,6,,0.0
infinite-race-real.tlsf,1,9941.0,100.0
infinite-race-real.tlsf,2,10078.0,100.0
infinite-race-real.tlsf,3,11865.0,100.0
infinite-race-real.tlsf,4,15641.0,100.0
infinite-race-real.tlsf,5,14352.0,100.0
infinite-race-real.tlsf,6,10049.0,100.0
infinite-race-unequal-1-real.tlsf,1,,0.0
infinite-race-unequal-1-real.tlsf,2,,0.0
infinite-race-unequal-1-real.tlsf,3,,0.0
infinite-race-unequal-1-real.tlsf,4,,0.0
infinite-race-unequal-1-real.tlsf,5,,0.0
infinite-race-unequal-1-real.tlsf,6,,0.0
ordered-visits-choice-real.tlsf,1,70139.0,100.0
ordered-visits-choice-real.tlsf,2,69986.0,100.0
ordered-visits-choice-real.tlsf,3,70011.0,100.0
ordered-visits-choice-real.tlsf,4,70026.0,100.0
ordered-visits-choice-real.tlsf,5,70053.0,100.0
ordered-visits-choice-real.tlsf,6,69995.0,100.0
ordered-visits-real.tlsf,1,,0.0
ordered-visits-real.tlsf,2,,0.0
ordered-visits-real.tlsf,3,,0.0
ordered-visits-real.tlsf,4,,0.0
ordered-visits-real.tlsf,5,,0.0
ordered-visits-real.tlsf,6,,0.0
