epoch,loss,train_step_acc,train_trace_acc,test_step_acc,test_trace_acc
0,0.647011,0.364189,0.000000,0.359000,0.000000
10,0.633101,0.516050,0.000000,0.543400,0.000000
20,0.618343,0.627789,0.000000,0.633150,0.000000
30,0.602840,0.645367,0.000000,0.647500,0.000000
40,0.586844,0.661750,0.000000,0.664650,0.001000
50,0.570336,0.678533,0.000111,0.680300,0.002000
60,0.553276,0.706006,0.001333,0.706200,0.001000
70,0.535641,0.717967,0.001556,0.718650,0.000000
80,0.517565,0.726344,0.002556,0.729450,0.000000
90,0.499168,0.739239,0.003778,0.743200,0.001000
100,0.480472,0.758783,0.006444,0.762100,0.006000
110,0.461479,0.782350,0.013778,0.788000,0.018000
120,0.442390,0.807589,0.033889,0.813650,0.044000
130,0.423841,0.828517,0.063333,0.834150,0.086000
140,0.406923,0.855578,0.159444,0.860500,0.185000
150,0.392753,0.865183,0.210111,0.866900,0.222000
160,0.381684,0.861706,0.171333,0.861400,0.173000
170,0.373010,0.859728,0.154778,0.858950,0.154000
180,0.365829,0.859606,0.149333,0.859050,0.157000
190,0.359652,0.861244,0.157111,0.862300,0.171000
200,0.354210,0.863006,0.168000,0.863950,0.175000
210,0.349319,0.864261,0.174333,0.865100,0.181000
220,0.344854,0.865289,0.180889,0.866300,0.187000
230,0.340731,0.866228,0.188111,0.867650,0.199000
240,0.336890,0.867094,0.194111,0.868200,0.205000
250,0.333290,0.868272,0.205000,0.869050,0.215000
260,0.329901,0.869206,0.212556,0.869800,0.224000
270,0.326700,0.870000,0.222000,0.870350,0.229000
280,0.323670,0.871028,0.229778,0.871150,0.236000
290,0.320797,0.871839,0.237222,0.871900,0.244000
300,0.318070,0.872606,0.245444,0.872300,0.248000
310,0.315480,0.873244,0.251222,0.872700,0.255000
320,0.313018,0.873789,0.257333,0.873250,0.261000
330,0.310678,0.874311,0.261556,0.874100,0.267000
340,0.308454,0.874717,0.267444,0.874700,0.274000
350,0.306340,0.874939,0.271000,0.875350,0.280000
360,0.304331,0.875250,0.274667,0.876150,0.288000
370,0.302422,0.875439,0.277333,0.876400,0.291000
380,0.300607,0.875644,0.279778,0.876350,0.292000
390,0.298882,0.875761,0.282889,0.876550,0.297000
400,0.297241,0.876000,0.285778,0.876650,0.300000
410,0.295680,0.876072,0.287556,0.876700,0.300000
420,0.294194,0.876217,0.289333,0.876750,0.299000
430,0.292778,0.876356,0.290222,0.876950,0.303000
440,0.291429,0.876517,0.291889,0.877100,0.304000
450,0.290141,0.876633,0.292778,0.877450,0.305000
460,0.288912,0.876656,0.293222,0.877250,0.304000
470,0.287738,0.876756,0.293889,0.877300,0.304000
480,0.286615,0.876789,0.294444,0.877150,0.303000
490,0.285540,0.876944,0.295667,0.877500,0.304000
499,0.284511,0.876983,0.296444,0.877500,0.304000
