tlsf_file,trial,num_traces,sample_size,accuracy,converged
ActionConverter_TSL_Paper.tlsf,1,,,,False
EscalatorBidirectional_TSL_Paper.tlsf,1,50000.0,1000000.0,100.0,True
abcg_arbiter_n_1.tlsf,1,50000.0,1000000.0,100.0,True
abcg_arbiter_n_2.tlsf,1,50000.0,1000000.0,100.0,True
arbiter-with-failure-real.tlsf,1,50000.0,1000000.0,4.1,False
arbiter_with_cancel_n_1.tlsf,1,50000.0,1000000.0,0.0,False
arbiter_with_cancel_n_2.tlsf,1,50000.0,1000000.0,0.0,False
arbiter_with_cancel_n_3.tlsf,1,50000.0,1000000.0,0.0,False
box-limited-real.tlsf,1,50000.0,1000000.0,96.9,True
full_arbiter_n_3.tlsf,1,50000.0,1000000.0,100.0,True
generalized_buffer_n_2.tlsf,1,50000.0,1000000.0,0.0,False
gui_glue_code_synthesis_01.tlsf,1,50000.0,1000000.0,100.0,True
gui_glue_code_synthesis_02.tlsf,1,50000.0,1000000.0,100.0,True
lilydemo04.tlsf,1,50000.0,1000000.0,34.7,True
lilydemo05.tlsf,1,50000.0,1000000.0,100.0,True
lilydemo06.tlsf,1,50000.0,1000000.0,100.0,True
lilydemo07.tlsf,1,50000.0,1000000.0,100.0,True
load_balancer_n_2.tlsf,1,50000.0,1000000.0,100.0,True
load_balancer_n_3.tlsf,1,50000.0,1000000.0,100.0,True
load_balancer_n_4.tlsf,1,50000.0,1000000.0,23.3,False
ltl2dba01_non_parametric.tlsf,1,50000.0,1000000.0,33.9,True
ltl2dba02_non_parametric.tlsf,1,50000.0,1000000.0,44.0,True
ltl2dba03_non_parametric.tlsf,1,50000.0,1000000.0,20.4,False
ltl2dpa01.tlsf,1,50000.0,1000000.0,100.0,True
ltl2dpa02.tlsf,1,50000.0,1000000.0,7.2,False
ltl2dpa03.tlsf,1,50000.0,1000000.0,100.0,True
ltl2dpa07.tlsf,1,50000.0,1000000.0,7.7,False
narylatch_n_3.tlsf,1,50000.0,1000000.0,100.0,True
narylatch_n_4.tlsf,1,50000.0,1000000.0,100.0,True
prioritized_arbiter_n_2.tlsf,1,50000.0,1000000.0,100.0,True
prioritized_arbiter_n_3.tlsf,1,50000.0,1000000.0,100.0,True
round_robin_arbiter_n_3.tlsf,1,50000.0,1000000.0,1.0,False
round_robin_arbiter_n_4.tlsf,1,50000.0,1000000.0,0.0,False
round_robin_arbiter_n_5.tlsf,1,50000.0,1000000.0,0.0,False
s4_arbiter_ex7_n_3.tlsf,1,,,,False
s4_arbiter_ex7_n_4.tlsf,1,50000.0,1000000.0,100.0,True
shift_n_10.tlsf,1,,,,False
simple_arbiter_n_2.tlsf,1,50000.0,1000000.0,100.0,True
simple_arbiter_n_3.tlsf,1,50000.0,1000000.0,100.0,True
