epoch,loss,train_step_acc,train_trace_acc,test_step_acc,test_trace_acc
0,0.7119500637054443,0.0,0.0,0.0,0.0
50,0.6446410417556763,0.29763333333333336,0.0,0.2973,0.0
100,0.5793116092681885,0.4149277777777778,0.0,0.42325,0.0
150,0.46833088994026184,0.6979888888888889,0.0005555555690079927,0.69515,0.0010000000474974513
200,0.4217764735221863,0.7379,0.004999999888241291,0.73055,0.005000000353902578
250,0.38912099599838257,0.7514888888888889,0.009333333000540733,0.7447,0.00800000037997961
300,0.34730812907218933,0.7918,0.029222222045063972,0.7885,0.023000001907348633
350,0.3169233500957489,0.8422944444444445,0.10333333164453506,0.83715,0.08300000429153442
400,0.2978582978248596,0.8607055555555555,0.17688889801502228,0.85395,0.1469999998807907
450,0.28348034620285034,0.8700388888888889,0.22655555605888367,0.86315,0.19300000369548798
