file,training_samples,epoch,loss,test_step_acc,test_trace_acc
abcg_arbiter_n_1.tlsf,10000,0,0.7108,0.0,0.0
abcg_arbiter_n_1.tlsf,10000,100,0.4325,0.3716,0.0
abcg_arbiter_n_1.tlsf,10000,200,0.2826,0.4693,0.0
abcg_arbiter_n_1.tlsf,10000,300,0.0994,0.9492,0.487
abcg_arbiter_n_1.tlsf,10000,400,0.0438,0.9744,0.487
abcg_arbiter_n_1.tlsf,10000,500,0.0233,1.0,1.0
abcg_arbiter_n_2.tlsf,10000,0,0.699,0.0,0.0
abcg_arbiter_n_2.tlsf,10000,100,0.4408,0.1086,0.0
abcg_arbiter_n_2.tlsf,10000,200,0.4132,0.1086,0.0
abcg_arbiter_n_2.tlsf,10000,300,0.2712,0.3727,0.0
abcg_arbiter_n_2.tlsf,10000,400,0.1723,0.6108,0.011
abcg_arbiter_n_2.tlsf,10000,500,0.0964,0.9099,0.229
abcg_arbiter_n_2.tlsf,10000,600,0.0599,0.965,0.647
abcg_arbiter_n_2.tlsf,10000,700,0.0392,0.9788,0.731
abcg_arbiter_n_2.tlsf,10000,800,0.0275,0.999,0.98
abcg_arbiter_n_2.tlsf,10000,900,0.0203,1.0,0.999
abcg_arbiter_n_2.tlsf,10000,1000,0.0156,1.0,1.0
