file,sample_size,value
Lily_Demo_V10.tlsf,100,100.0
Lily_Demo_V10.tlsf,1000,100.0
Robot_Grid_Parametric.tlsf,100,0.0
Robot_Grid_Parametric.tlsf,1000,0.0
Modularized_Arbiter_n_3.tlsf,100,4.76
Modularized_Arbiter_n_3.tlsf,1000,6.67
LTL_DPA_EX1.tlsf,100,53.33
LTL_DPA_EX1.tlsf,1000,44.0
Lily_Demo_V5.tlsf,100,47.62
Lily_Demo_V5.tlsf,1000,68.89
LTL_DPA_EX4.tlsf,100,50.0
LTL_DPA_EX4.tlsf,1000,59.38
Chomp.tlsf,100,0.0
Chomp.tlsf,1000,0.0
Generalized_Buffer.tlsf,100,10.87
Generalized_Buffer.tlsf,1000,4.17
LTL_DPA_EX2.tlsf,100,100.0
LTL_DPA_EX2.tlsf,1000,100.0
S4_Arbiter.tlsf,100,0.0
S4_Arbiter.tlsf,1000,0.0
