file,samples,average_accuracy
LTL_DPA_EX1.tlsf,200,100.0
LTL_DPA_EX1.tlsf,500,100.0
LTL_DPA_EX1.tlsf,1000,100.0
LTL_DPA_EX2.tlsf,200,100.0
LTL_DPA_EX2.tlsf,500,100.0
LTL_DPA_EX2.tlsf,1000,100.0
LTL_DPA_EX4.tlsf,200,100.0
LTL_DPA_EX4.tlsf,500,100.0
LTL_DPA_EX4.tlsf,1000,100.0
Lily_Demo_V10.tlsf,200,100.0
Lily_Demo_V10.tlsf,500,100.0
Lily_Demo_V10.tlsf,1000,100.0
Lily_Demo_V5.tlsf,200,0.0
Lily_Demo_V5.tlsf,500,26.0
Lily_Demo_V5.tlsf,1000,67.0
Modularized_Arbiter_n_3.tlsf,200,0.0
Modularized_Arbiter_n_3.tlsf,500,6.0
Modularized_Arbiter_n_3.tlsf,1000,14.0
S4_Arbiter.tlsf,200,100.0
S4_Arbiter.tlsf,500,100.0
S4_Arbiter.tlsf,1000,100.0
